Comprehensive Analysis of PSMG3 in Pan-Cancer  and Validation of Its Role in Hepatocellular Carcinoma									
Table S3  GO analysis of DEGs of PSMG3 in LIHC									
ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0071173	spindle assembly checkpoint signaling	7/263	46/18870	3.17E-06	9.05E-05	7.51E-05	CCNB1/AURKB/CDCA8/CDC20/BIRC5/ZWINT/SPC24	7
BP	GO:0071174	mitotic spindle checkpoint signaling	7/263	46/18870	3.17E-06	9.05E-05	7.51E-05	CCNB1/AURKB/CDCA8/CDC20/BIRC5/ZWINT/SPC24	7
BP	GO:0031577	spindle checkpoint signaling	7/263	47/18870	3.69E-06	0.000104084	8.64E-05	CCNB1/AURKB/CDCA8/CDC20/BIRC5/ZWINT/SPC24	7
BP	GO:1901970	positive regulation of mitotic sister chromatid separation	5/263	18/18870	3.74E-06	0.0001046	8.68E-05	AURKB/CDCA8/UBE2C/CDC20/BIRC5	5
BP	GO:0033046	negative regulation of sister chromatid segregation	7/263	48/18870	4.26E-06	0.000114532	9.50E-05	CCNB1/AURKB/CDCA8/CDC20/BIRC5/ZWINT/SPC24	7
BP	GO:0033048	negative regulation of mitotic sister chromatid segregation	7/263	48/18870	4.26E-06	0.000114532	9.50E-05	CCNB1/AURKB/CDCA8/CDC20/BIRC5/ZWINT/SPC24	7
BP	GO:0045841	negative regulation of mitotic metaphase/anaphase transition	7/263	48/18870	4.26E-06	0.000114532	9.50E-05	CCNB1/AURKB/CDCA8/CDC20/BIRC5/ZWINT/SPC24	7
BP	GO:2000816	negative regulation of mitotic sister chromatid separation	7/263	48/18870	4.26E-06	0.000114532	9.50E-05	CCNB1/AURKB/CDCA8/CDC20/BIRC5/ZWINT/SPC24	7
BP	GO:0071241	cellular response to inorganic substance	14/263	229/18870	4.29E-06	0.000114532	9.50E-05	MT1H/CRHBP/SLC13A5/FOSB/MT2A/CYP1A2/MT1E/MMP9/FBP1/MT1G/MT1M/MT1X/MT1F/FOS	14
BP	GO:0008608	attachment of spindle microtubules to kinetochore	7/263	49/18870	4.92E-06	0.000129993	0.000107859	KIF2C/CCNB1/CDT1/AURKB/CDCA8/BIRC5/SPC24	7
BP	GO:0051985	negative regulation of chromosome segregation	7/263	50/18870	5.65E-06	0.000145406	0.000120648	CCNB1/AURKB/CDCA8/CDC20/BIRC5/ZWINT/SPC24	7
BP	GO:1902100	negative regulation of metaphase/anaphase transition of cell cycle	7/263	50/18870	5.65E-06	0.000145406	0.000120648	CCNB1/AURKB/CDCA8/CDC20/BIRC5/ZWINT/SPC24	7
BP	GO:1905819	negative regulation of chromosome separation	7/263	50/18870	5.65E-06	0.000145406	0.000120648	CCNB1/AURKB/CDCA8/CDC20/BIRC5/ZWINT/SPC24	7
BP	GO:0007088	regulation of mitotic nuclear division	10/263	118/18870	6.07E-06	0.000154774	0.000128421	IGF2/CCNB1/AURKB/CDCA8/UBE2C/CDC20/SPHK1/BIRC5/ZWINT/SPC24	10
BP	GO:0007091	metaphase/anaphase transition of mitotic cell cycle	9/263	94/18870	6.56E-06	0.000165833	0.000137596	CCNB1/AURKB/CDCA8/TACC3/UBE2C/CDC20/BIRC5/ZWINT/SPC24	9
BP	GO:0051310	metaphase chromosome alignment	9/263	96/18870	7.80E-06	0.000195602	0.000162297	KIF2C/CCNB1/CDT1/AURKB/CDCA8/KIFC1/BIRC5/CDCA5/SPC24	9
BP	GO:0044784	metaphase/anaphase transition of cell cycle	9/263	97/18870	8.49E-06	0.000209801	0.000174078	CCNB1/AURKB/CDCA8/TACC3/UBE2C/CDC20/BIRC5/ZWINT/SPC24	9
BP	GO:0051315	attachment of mitotic spindle microtubules to kinetochore	5/263	21/18870	8.58E-06	0.000209801	0.000174078	KIF2C/CDT1/AURKB/CDCA8/BIRC5	5
BP	GO:0052695	cellular glucuronidation	5/263	21/18870	8.58E-06	0.000209801	0.000174078	UGT2B7/UGT2B10/UGT1A4/UGT2B15/UGT1A1	5
BP	GO:1905818	regulation of chromosome separation	8/263	74/18870	8.72E-06	0.00021129	0.000175313	CCNB1/AURKB/CDCA8/UBE2C/CDC20/BIRC5/ZWINT/SPC24	8
BP	GO:0006690	icosanoid metabolic process	10/263	125/18870	1.01E-05	0.000243703	0.000202207	CYP2C9/CYP2C8/CYP2E1/CYP1A2/CYP4A11/PYCARD/CYP4A22/CYP4F2/CYP2B6/CYP2A6	10
BP	GO:0002455	humoral immune response mediated by circulating immunoglobulin	7/263	55/18870	1.08E-05	0.000257603	0.000213741	C9/MBL2/C4BPA/C6/C8A/HPX/C7	7
BP	GO:0006694	steroid biosynthetic process	12/263	184/18870	1.09E-05	0.000257603	0.000213741	BAAT/HSD17B6/CYP39A1/CYP8B1/SLC27A2/AKR1D1/ABCB11/SRD5A2/HMGCS2/CYP3A4/SLC27A5/G6PD	12
BP	GO:0033762	response to glucagon	5/263	22/18870	1.10E-05	0.000257603	0.000213741	CPS1/GCGR/CDO1/HMGCS2/PCK1	5
BP	GO:0000050	urea cycle	4/263	11/18870	1.13E-05	0.000258134	0.000214181	CPS1/ARG1/OTC/SLC25A15	4
BP	GO:0001867	"complement activation, lectin pathway"	4/263	11/18870	1.13E-05	0.000258134	0.000214181	MBL2/FCN2/COLEC10/FCN3	4
BP	GO:0051987	positive regulation of attachment of spindle microtubules to kinetochore	4/263	11/18870	1.13E-05	0.000258134	0.000214181	CCNB1/AURKB/CDCA8/BIRC5	4
BP	GO:0045839	negative regulation of mitotic nuclear division	7/263	56/18870	1.22E-05	0.000276183	0.000229157	CCNB1/AURKB/CDCA8/CDC20/BIRC5/ZWINT/SPC24	7
BP	GO:1901617	organic hydroxy compound biosynthetic process	14/263	251/18870	1.22E-05	0.000276183	0.000229157	BAAT/CYP39A1/CYP8B1/SLC27A2/PAH/AKR1D1/ABCB11/SRD5A2/HMGCS2/SPHK1/CYP3A4/PCK1/SLC27A5/G6PD	14
BP	GO:0009064	glutamine family amino acid metabolic process	8/263	79/18870	1.42E-05	0.000317958	0.000263819	CPS1/TAT/ARG1/AMDHD1/UROC1/OTC/GLYATL1/PYCR1	8
BP	GO:0007052	mitotic spindle organization	10/263	130/18870	1.43E-05	0.000318129	0.000263961	MYBL2/CCNB1/AURKB/CDCA8/TACC3/STMN1/CDC20/KIFC1/BIRC5/TPX2	10
BP	GO:0050878	regulation of body fluid levels	17/263	365/18870	1.56E-05	0.000343597	0.000285093	F9/HRG/F11/FGA/SERPINC1/SAA1/SPINK1/ANO1/CYP4A11/CDO1/HSPB1/PLG/FGG/F13B/CYP4F2/HGFAC/NME1	17
BP	GO:0001906	cell killing	13/263	223/18870	1.57E-05	0.00034435	0.000285718	C9/HRG/MBL2/ARG1/CFHR5/DNASE1L3/ROMO1/C6/C8A/CD5L/C7/RPS19/HAMP	13
BP	GO:0051304	chromosome separation	8/263	81/18870	1.71E-05	0.000371292	0.000308072	CCNB1/AURKB/CDCA8/UBE2C/CDC20/BIRC5/ZWINT/SPC24	8
BP	GO:0006641	triglyceride metabolic process	9/263	106/18870	1.75E-05	0.000374423	0.00031067	AADAC/CPS1/ACSL1/MOGAT2/THRSP/APOA5/MFSD2A/PCK1/SLC27A5	9
BP	GO:0009062	fatty acid catabolic process	9/263	106/18870	1.75E-05	0.000374423	0.00031067	SLC27A2/HAO2/CYP4A11/EHHADH/ABCB11/MFSD2A/CYP4F2/PCK1/HAO1	9
BP	GO:0042180	cellular ketone metabolic process	13/263	226/18870	1.81E-05	0.000385148	0.000319569	PDK4/HSD17B6/ALDH8A1/BHMT/ADH4/APOA5/ABCB11/SRD5A2/MFSD2A/CYP4F2/CYP2B6/AFP/TDO2	13
BP	GO:1902850	microtubule cytoskeleton organization involved in mitosis	11/263	163/18870	1.85E-05	0.000390404	0.00032393	MYBL2/CDK1/CCNB1/AURKB/CDCA8/TACC3/STMN1/CDC20/KIFC1/BIRC5/TPX2	11
BP	GO:0019395	fatty acid oxidation	9/263	107/18870	1.89E-05	0.000395179	0.000327892	PDK4/ADH4/SLC27A2/HAO2/EHHADH/ABCB11/MFSD2A/CYP4F2/HAO1	9
BP	GO:0051303	establishment of chromosome localization	9/263	108/18870	2.04E-05	0.000422883	0.000350879	KIF2C/CCNB1/CDT1/AURKB/CDCA8/KIFC1/BIRC5/CDCA5/SPC24	9
BP	GO:0006958	"complement activation, classical pathway"	6/263	42/18870	2.38E-05	0.000485896	0.000403162	C9/MBL2/C4BPA/C6/C8A/C7	6
BP	GO:0006787	porphyrin-containing compound catabolic process	4/263	13/18870	2.39E-05	0.000485896	0.000403162	BLVRA/SLCO1B1/UGT1A4/UGT1A1	4
BP	GO:0033015	tetrapyrrole catabolic process	4/263	13/18870	2.39E-05	0.000485896	0.000403162	BLVRA/SLCO1B1/UGT1A4/UGT1A1	4
BP	GO:0006063	uronic acid metabolic process	5/263	26/18870	2.62E-05	0.000525748	0.000436229	UGT2B7/UGT2B10/UGT1A4/UGT2B15/UGT1A1	5
BP	GO:0019585	glucuronate metabolic process	5/263	26/18870	2.62E-05	0.000525748	0.000436229	UGT2B7/UGT2B10/UGT1A4/UGT2B15/UGT1A1	5
BP	GO:0051784	negative regulation of nuclear division	7/263	63/18870	2.68E-05	0.000534337	0.000443356	CCNB1/AURKB/CDCA8/CDC20/BIRC5/ZWINT/SPC24	7
BP	GO:0046717	acid secretion	6/263	43/18870	2.74E-05	0.000541957	0.000449678	ABAT/SLC6A1/ABCB4/AGXT/ABCB11/SLC10A1	6
BP	GO:0007051	spindle organization	12/263	202/18870	2.78E-05	0.000545755	0.00045283	SAC3D1/MYBL2/CCNB1/AURKB/CDCA8/TACC3/CCNB2/STMN1/CDC20/KIFC1/BIRC5/TPX2	12
BP	GO:0034440	lipid oxidation	9/263	114/18870	3.14E-05	0.000612328	0.000508067	PDK4/ADH4/SLC27A2/HAO2/EHHADH/ABCB11/MFSD2A/CYP4F2/HAO1	9
BP	GO:0042730	fibrinolysis	5/263	27/18870	3.18E-05	0.000612328	0.000508067	HRG/F11/FGA/PLG/FGG	5
BP	GO:0051984	positive regulation of chromosome segregation	5/263	27/18870	3.18E-05	0.000612328	0.000508067	CDK1/CCNB1/AURKB/CDCA8/BIRC5	5
BP	GO:0071375	cellular response to peptide hormone stimulus	15/263	310/18870	3.20E-05	0.000612328	0.000508067	PDK4/CRHBP/CPS1/GCGR/IGFBP1/IGF2/SPINK1/GHR/FBP1/HMGCS2/HRAS/PKM/PCK1/FOS/AHSG	15
BP	GO:0014074	response to purine-containing compound	10/263	143/18870	3.28E-05	0.000623404	0.000517257	CRHBP/CPS1/SLC6A1/AQP9/FOSB/CDO1/FBP1/HMGCS2/PCK1/FOS	10
BP	GO:0070989	oxidative demethylation	4/263	14/18870	3.31E-05	0.000624754	0.000518377	CYP2C9/CYP2C8/CYP1A2/CYP3A4	4
BP	GO:0033559	unsaturated fatty acid metabolic process	9/263	115/18870	3.36E-05	0.000631016	0.000523572	CYP2C9/CYP2C8/CYP2E1/CYP1A2/CYP4A11/CYP4A22/CYP4F2/CYP2B6/CYP2A6	9
BP	GO:0044772	mitotic cell cycle phase transition	19/263	470/18870	3.54E-05	0.000659644	0.000547326	UBE2S/CDK1/CCNB1/AURKB/CDCA8/TACC3/UBE2C/CCNB2/E2F1/UBD/CDC20/CDKN3/BIRC5/CDCA5/CKS2/ZWINT/CDKN2A/RRM2/SPC24	19
BP	GO:0015908	fatty acid transport	9/263	116/18870	3.60E-05	0.000663046	0.000550149	NMB/ACSL1/SLC27A2/CYP4A11/SLCO1B1/MFSD2A/CYP4F2/SLC27A5/SLC22A1	9
BP	GO:0050000	chromosome localization	9/263	116/18870	3.60E-05	0.000663046	0.000550149	KIF2C/CCNB1/CDT1/AURKB/CDCA8/KIFC1/BIRC5/CDCA5/SPC24	9
BP	GO:0043434	response to peptide hormone	18/263	430/18870	3.63E-05	0.000663221	0.000550294	PDK4/CRHBP/CPS1/GCGR/IGFBP1/IGF2/SPINK1/OTC/GHR/CDO1/FBP1/SRD5A2/HMGCS2/HRAS/PKM/PCK1/FOS/AHSG	18
BP	GO:0030071	regulation of mitotic metaphase/anaphase transition	8/263	90/18870	3.70E-05	0.000672807	0.000558248	CCNB1/AURKB/CDCA8/UBE2C/CDC20/BIRC5/ZWINT/SPC24	8
BP	GO:0042759	long-chain fatty acid biosynthetic process	5/263	28/18870	3.83E-05	0.000687241	0.000570224	CYP2C9/CYP2C8/CYP2E1/CYP1A2/CYP3A4	5
BP	GO:0051873	killing by host of symbiont cells	5/263	28/18870	3.83E-05	0.000687241	0.000570224	HRG/MBL2/ARG1/CFHR5/ROMO1	5
BP	GO:0051783	regulation of nuclear division	10/263	146/18870	3.92E-05	0.000699104	0.000580067	IGF2/CCNB1/AURKB/CDCA8/UBE2C/CDC20/SPHK1/BIRC5/ZWINT/SPC24	10
BP	GO:0032892	positive regulation of organic acid transport	6/263	46/18870	4.06E-05	0.000720731	0.000598012	ABAT/SLC6A1/ACSL1/CYP4A11/ABCB11/CYP4F2	6
BP	GO:0006910	"phagocytosis, recognition"	5/263	29/18870	4.57E-05	0.000793675	0.000658536	MBL2/FCN2/COLEC10/C4BPA/FCN3	5
BP	GO:0015721	bile acid and bile salt transport	5/263	29/18870	4.57E-05	0.000793675	0.000658536	AQP9/SLCO1B1/ABCB11/SLC10A1/SLC27A5	5
BP	GO:1905820	positive regulation of chromosome separation	5/263	29/18870	4.57E-05	0.000793675	0.000658536	AURKB/CDCA8/UBE2C/CDC20/BIRC5	5
BP	GO:0045926	negative regulation of growth	13/263	247/18870	4.58E-05	0.000793675	0.000658536	MT1H/HRG/SPP1/MT2A/MT1E/GPC3/FBP1/MT1G/G6PD/MT1M/MT1X/MT1F/CDKN2A	13
BP	GO:1902099	regulation of metaphase/anaphase transition of cell cycle	8/263	93/18870	4.69E-05	0.000807355	0.000669886	CCNB1/AURKB/CDCA8/UBE2C/CDC20/BIRC5/ZWINT/SPC24	8
BP	GO:2001251	negative regulation of chromosome organization	8/263	94/18870	5.07E-05	0.000866831	0.000719236	TOP2A/CCNB1/AURKB/CDCA8/CDC20/BIRC5/ZWINT/SPC24	8
BP	GO:0006953	acute-phase response	6/263	48/18870	5.20E-05	0.000884733	0.000734089	MBL2/SAA1/SAA2/HP/UGT1A1/AHSG	6
BP	GO:0090307	mitotic spindle assembly	7/263	71/18870	5.86E-05	0.000989171	0.000820745	MYBL2/AURKB/CDCA8/CDC20/KIFC1/BIRC5/TPX2	7
BP	GO:0009074	aromatic amino acid family catabolic process	4/263	16/18870	5.88E-05	0.000989171	0.000820745	HPD/TAT/PAH/TDO2	4
BP	GO:0072521	purine-containing compound metabolic process	19/263	493/18870	6.71E-05	0.001121142	0.000930245	BAAT/PDK4/ACSL1/SLC27A2/AASS/GNMT/NUDT1/ALDH1L1/ALDOA/ASPDH/GLYAT/ACSM2A/ACSM5/HMGCS2/G6PD/NME1/ALDOB/TDO2/SULT2A1	19
BP	GO:0031667	response to nutrient levels	19/263	495/18870	7.07E-05	0.001176034	0.000975791	PDK4/CPS1/GCGR/SPP1/CYP8B1/ACSL1/ALB/SPINK1/OTC/GHR/SLC10A1/FBP1/SRD5A2/MFSD2A/HMGCS2/PCK1/G6PD/FOS/UGT1A1	19
BP	GO:0046683	response to organophosphorus	9/263	127/18870	7.33E-05	0.001204848	0.000999699	CRHBP/CPS1/AQP9/FOSB/CDO1/FBP1/HMGCS2/PCK1/FOS	9
BP	GO:0051384	response to glucocorticoid	9/263	127/18870	7.33E-05	0.001204848	0.000999699	CPS1/TAT/FOSB/GHR/CDO1/HMGCS2/PCK1/FOS/UGT1A1	9
BP	GO:0009072	aromatic amino acid metabolic process	5/263	32/18870	7.49E-05	0.00121513	0.00100823	HPD/TAT/PAH/TTC36/TDO2	5
BP	GO:0007596	blood coagulation	12/263	224/18870	7.58E-05	0.00121513	0.00100823	F9/HRG/F11/FGA/SERPINC1/SAA1/HSPB1/PLG/FGG/F13B/CYP4F2/HGFAC	12
BP	GO:0006544	glycine metabolic process	4/263	17/18870	7.61E-05	0.00121513	0.00100823	BAAT/AGXT/GLYAT/HAO1	4
BP	GO:0006570	tyrosine metabolic process	4/263	17/18870	7.61E-05	0.00121513	0.00100823	HPD/TAT/PAH/TTC36	4
BP	GO:1901653	cellular response to peptide	16/263	374/18870	7.64E-05	0.00121513	0.00100823	PDK4/CRHBP/CPS1/GCGR/IGFBP1/IGF2/SPINK1/ANO1/GHR/FBP1/HMGCS2/HRAS/PKM/PCK1/FOS/AHSG	16
BP	GO:0098754	detoxification	10/263	158/18870	7.64E-05	0.00121513	0.00100823	MT1H/ADH4/ALB/MT2A/MT1E/MT1G/HP/MT1M/MT1X/MT1F	10
BP	GO:0006778	porphyrin-containing compound metabolic process	6/263	53/18870	9.18E-05	0.001451277	0.001204168	BLVRA/CYP1A2/SLCO1B1/UGT1A4/HPX/UGT1A1	6
BP	GO:0050817	coagulation	12/263	229/18870	9.35E-05	0.001470528	0.001220141	F9/HRG/F11/FGA/SERPINC1/SAA1/HSPB1/PLG/FGG/F13B/CYP4F2/HGFAC	12
BP	GO:0006957	"complement activation, alternative pathway"	4/263	18/18870	9.68E-05	0.001513261	0.001255598	C9/CFHR5/C8A/C7	4
BP	GO:0032890	regulation of organic acid transport	7/263	77/18870	9.88E-05	0.001536584	0.00127495	ABAT/SLC6A1/ACSL1/CYP4A11/ABCB11/SLC10A1/CYP4F2	7
BP	GO:0007599	hemostasis	12/263	231/18870	0.000101555	0.001571395	0.001303833	F9/HRG/F11/FGA/SERPINC1/SAA1/HSPB1/PLG/FGG/F13B/CYP4F2/HGFAC	12
BP	GO:0051225	spindle assembly	9/263	133/18870	0.000104709	0.001611625	0.001337214	SAC3D1/MYBL2/AURKB/CDCA8/CCNB2/CDC20/KIFC1/BIRC5/TPX2	9
BP	GO:1901568	fatty acid derivative metabolic process	7/263	78/18870	0.000107241	0.001641916	0.001362346	ACSL1/SLC27A2/CYP4A11/ACSM2A/HMGCS2/CYP4F2/SLC27A5	7
BP	GO:0006639	acylglycerol metabolic process	9/263	134/18870	0.000110903	0.00168909	0.001401489	AADAC/CPS1/ACSL1/MOGAT2/THRSP/APOA5/MFSD2A/PCK1/SLC27A5	9
BP	GO:0015850	organic hydroxy compound transport	14/263	308/18870	0.000114045	0.001727906	0.001433695	ABAT/SELENOM/SPP1/AQP9/CYP8B1/NMB/ABCB4/APOA5/SLCO1B1/ABCB11/SLC10A1/SLC27A5/LCAT/SLC22A1	14
BP	GO:0006638	neutral lipid metabolic process	9/263	135/18870	0.000117401	0.001769531	0.001468233	AADAC/CPS1/ACSL1/MOGAT2/THRSP/APOA5/MFSD2A/PCK1/SLC27A5	9
BP	GO:0046164	alcohol catabolic process	5/263	36/18870	0.000134041	0.002009919	0.00166769	CYP39A1/ADH4/AKR1D1/HAO1/SULT2A1	5
BP	GO:0043605	amide catabolic process	4/263	20/18870	0.000149873	0.002235794	0.001855105	AMDHD1/UROC1/AASS/TDO2	4
BP	GO:0031638	zymogen activation	6/263	59/18870	0.00016803	0.002475903	0.00205433	F9/F11/FGA/FGG/CD5L/HGFAC	6
BP	GO:0051289	protein homotetramerization	6/263	59/18870	0.00016803	0.002475903	0.00205433	GNMT/ALDOA/MAT1A/CTH/TDO2/TK1	6
BP	GO:1901654	response to ketone	11/263	208/18870	0.000168521	0.002475903	0.00205433	CPS1/TAT/SPP1/ABCB4/FOSB/CA9/FBP1/SRD5A2/HMGCS2/PCK1/FOS	11
BP	GO:0055088	lipid homeostasis	10/263	175/18870	0.000177854	0.002599888	0.002157204	CYP39A1/ABCB4/APOA5/ABCB11/ACSM2A/ANGPTL3/CD24/EPHX2/TLCD1/LCAT	10
BP	GO:0006268	DNA unwinding involved in DNA replication	4/263	21/18870	0.000183118	0.002611221	0.002166608	MCM7/HMGA1/MCM2/RECQL4	4
BP	GO:0051988	regulation of attachment of spindle microtubules to kinetochore	4/263	21/18870	0.000183118	0.002611221	0.002166608	CCNB1/AURKB/CDCA8/BIRC5	4
BP	GO:0090231	regulation of spindle checkpoint	4/263	21/18870	0.000183118	0.002611221	0.002166608	CCNB1/AURKB/CDCA8/BIRC5	4
BP	GO:0090266	regulation of mitotic cell cycle spindle assembly checkpoint	4/263	21/18870	0.000183118	0.002611221	0.002166608	CCNB1/AURKB/CDCA8/BIRC5	4
BP	GO:1903504	regulation of mitotic spindle checkpoint	4/263	21/18870	0.000183118	0.002611221	0.002166608	CCNB1/AURKB/CDCA8/BIRC5	4
BP	GO:0033044	regulation of chromosome organization	12/263	247/18870	0.000190084	0.002697333	0.002238058	TOP2A/CDK1/CCNB1/AURKB/CDCA8/TACC3/FEN1/UBE2C/CDC20/BIRC5/ZWINT/SPC24	12
BP	GO:0032370	positive regulation of lipid transport	7/263	86/18870	0.000198459	0.002802517	0.002325332	SPP1/CYP8B1/NMB/ACSL1/ABCB4/CYP4A11/CYP4F2	7
BP	GO:0042219	cellular modified amino acid catabolic process	4/263	22/18870	0.00022137	0.003096497	0.002569256	BHMT/CDO1/AGXT/DMGDH	4
BP	GO:0033013	tetrapyrrole metabolic process	6/263	62/18870	0.000221406	0.003096497	0.002569256	BLVRA/CYP1A2/SLCO1B1/UGT1A4/HPX/UGT1A1	6
BP	GO:0031960	response to corticosteroid	9/263	149/18870	0.000247441	0.003444041	0.002857624	CPS1/TAT/FOSB/GHR/CDO1/HMGCS2/PCK1/FOS/UGT1A1	9
BP	GO:0051262	protein tetramerization	7/263	90/18870	0.000263244	0.003646562	0.003025661	GNMT/ALDOA/MAT1A/RRM2/CTH/TDO2/TK1	7
BP	GO:0006163	purine nucleotide metabolic process	17/263	463/18870	0.000286165	0.003945274	0.003273512	BAAT/PDK4/ACSL1/SLC27A2/AASS/ALDH1L1/ALDOA/ASPDH/GLYAT/ACSM2A/ACSM5/HMGCS2/G6PD/NME1/ALDOB/TDO2/SULT2A1	17
BP	GO:1904627	response to phorbol 13-acetate 12-myristate	3/263	10/18870	0.000298752	0.004080137	0.003385412	FBP1/PCK1/FOS	3
BP	GO:1904628	cellular response to phorbol 13-acetate 12-myristate	3/263	10/18870	0.000298752	0.004080137	0.003385412	FBP1/PCK1/FOS	3
BP	GO:0019432	triglyceride biosynthetic process	5/263	43/18870	0.000316125	0.004297231	0.003565541	ACSL1/MOGAT2/THRSP/MFSD2A/PCK1	5
BP	GO:0090068	positive regulation of cell cycle process	12/263	262/18870	0.000326111	0.004412357	0.003661065	IGF2/CDK1/CCNB1/AURKB/CDCA8/FEN1/UBE2C/CDC20/SPHK1/BIRC5/CDCA5/RRM2	12
BP	GO:0030193	regulation of blood coagulation	6/263	68/18870	0.000367712	0.0049522	0.004108988	HRG/F11/FGA/SERPINC1/PLG/FGG	6
BP	GO:0000075	cell cycle checkpoint signaling	10/263	192/18870	0.000374554	0.005021097	0.004166154	CDK1/CCNB1/CDT1/AURKB/CDCA8/E2F1/CDC20/BIRC5/ZWINT/SPC24	10
BP	GO:0006575	cellular modified amino acid metabolic process	8/263	126/18870	0.000390058	0.005204943	0.004318697	BHMT/CDO1/GNMT/AGXT/MFSD2A/DMGDH/SLC6A8/SULT2A1	8
BP	GO:0000098	sulfur amino acid catabolic process	3/263	11/18870	0.000406558	0.00525634	0.004361342	CDO1/AGXT/MAT1A	3
BP	GO:0007494	midgut development	3/263	11/18870	0.000406558	0.00525634	0.004361342	CPS1/OTC/HMGCS2	3
BP	GO:0038183	bile acid signaling pathway	3/263	11/18870	0.000406558	0.00525634	0.004361342	CYP8B1/ABCB11/SLC10A1	3
BP	GO:0042167	heme catabolic process	3/263	11/18870	0.000406558	0.00525634	0.004361342	BLVRA/SLCO1B1/UGT1A4	3
BP	GO:0046149	pigment catabolic process	3/263	11/18870	0.000406558	0.00525634	0.004361342	BLVRA/SLCO1B1/UGT1A4	3
BP	GO:0051256	mitotic spindle midzone assembly	3/263	11/18870	0.000406558	0.00525634	0.004361342	AURKB/CDCA8/BIRC5	3
BP	GO:1902412	regulation of mitotic cytokinesis	3/263	11/18870	0.000406558	0.00525634	0.004361342	AURKB/CDCA8/BIRC5	3
BP	GO:0032868	response to insulin	12/263	269/18870	0.000413572	0.005323373	0.004416962	PDK4/IGFBP1/IGF2/OTC/GHR/FBP1/HMGCS2/HRAS/PKM/PCK1/FOS/AHSG	12
BP	GO:1903035	negative regulation of response to wounding	7/263	97/18870	0.000416804	0.005341329	0.00443186	HRG/SPP1/F11/FGA/PLG/FGG/MDK	7
BP	GO:1900046	regulation of hemostasis	6/263	70/18870	0.0004304	0.00549138	0.004556362	HRG/F11/FGA/SERPINC1/PLG/FGG	6
BP	GO:0019693	ribose phosphate metabolic process	15/263	393/18870	0.000433969	0.005512737	0.004574082	DPYS/BAAT/PDK4/ACSL1/SLC27A2/AASS/ALDOA/GLYAT/ACSM2A/ACSM5/HMGCS2/G6PD/NME1/TDO2/SULT2A1	15
BP	GO:1901990	regulation of mitotic cell cycle phase transition	14/263	355/18870	0.000486153	0.006148773	0.005101821	CDK1/CCNB1/AURKB/CDCA8/UBE2C/E2F1/UBD/CDC20/BIRC5/CDCA5/ZWINT/CDKN2A/RRM2/SPC24	14
BP	GO:0050766	positive regulation of phagocytosis	6/263	72/18870	0.000501128	0.006259486	0.005193683	MBL2/FCN2/COLEC10/FCN3/PYCARD/AHSG	6
BP	GO:0042632	cholesterol homeostasis	7/263	100/18870	0.000501361	0.006259486	0.005193683	CYP39A1/APOA5/ABCB11/ANGPTL3/CD24/EPHX2/LCAT	7
BP	GO:0050764	regulation of phagocytosis	7/263	100/18870	0.000501361	0.006259486	0.005193683	MBL2/FCN2/COLEC10/FCN3/PYCARD/SPHK1/AHSG	7
BP	GO:0006979	response to oxidative stress	15/263	400/18870	0.00052129	0.006422593	0.005329017	TAT/MBL2/CDK1/GAS5/ROMO1/NUDT1/MMP9/ABCB11/SPHK1/HP/PYCR1/G6PD/HAO1/FOS/SELENOP	15
BP	GO:0009066	aspartate family amino acid metabolic process	5/263	48/18870	0.000531381	0.006422593	0.005329017	BHMT/AASS/GNMT/SDS/MAT1A	5
BP	GO:0030195	negative regulation of blood coagulation	5/263	48/18870	0.000531381	0.006422593	0.005329017	HRG/F11/FGA/PLG/FGG	5
BP	GO:0055092	sterol homeostasis	7/263	101/18870	0.000532398	0.006422593	0.005329017	CYP39A1/APOA5/ABCB11/ANGPTL3/CD24/EPHX2/LCAT	7
BP	GO:0000022	mitotic spindle elongation	3/263	12/18870	0.000536504	0.006422593	0.005329017	AURKB/CDCA8/BIRC5	3
BP	GO:0006534	cysteine metabolic process	3/263	12/18870	0.000536504	0.006422593	0.005329017	CDO1/AGXT/CTH	3
BP	GO:0032782	bile acid secretion	3/263	12/18870	0.000536504	0.006422593	0.005329017	ABCB4/ABCB11/SLC10A1	3
BP	GO:0071377	cellular response to glucagon stimulus	3/263	12/18870	0.000536504	0.006422593	0.005329017	CPS1/GCGR/PCK1	3
BP	GO:0090232	positive regulation of spindle checkpoint	3/263	12/18870	0.000536504	0.006422593	0.005329017	AURKB/CDCA8/BIRC5	3
BP	GO:0090267	positive regulation of mitotic cell cycle spindle assembly checkpoint	3/263	12/18870	0.000536504	0.006422593	0.005329017	AURKB/CDCA8/BIRC5	3
BP	GO:0050818	regulation of coagulation	6/263	73/18870	0.000539722	0.006434636	0.00533901	HRG/F11/FGA/SERPINC1/PLG/FGG	6
BP	GO:0072337	modified amino acid transport	5/263	49/18870	0.000585108	0.006919026	0.005740923	SLC38A4/SLC7A2/SLC25A15/SLC6A8/SLC22A1	5
BP	GO:1900047	negative regulation of hemostasis	5/263	49/18870	0.000585108	0.006919026	0.005740923	HRG/F11/FGA/PLG/FGG	5
